FoodGroup;ProductGroep;Name;Naam;Code
Potatoes;Aardappelen;Cassava boiled;Cassave gekookt;2109
Potatoes;Aardappelen;Cassava raw;Cassave rauw;667
Potatoes;Aardappelen;Chips fried in liquid frying fat;Frites bereid m vloeibaar vet;2107
Potatoes;Aardappelen;Chips fried in solid frying fat;Frites bereid m hard vet;2106
Potatoes;Aardappelen;Chips oven frozen prepared;Frites oven- diepvries bereid;1679
Potatoes;Aardappelen;Chips pre-fried unprepared;Frites voorgebakken onbereid;1456
Potatoes;Aardappelen;Chips prepared average;Frites bereid gem;2108
Potatoes;Aardappelen;Croquettes potato frozen unprepared;Aardappelkroketten diepvries onbereid;2326
Potatoes;Aardappelen;Plantain ripe raw;Banaan bak- rijp rauw;665
Potatoes;Aardappelen;Potato croquettes frozen prepared;Aardappelkroketten diepvries bereid;1680
Potatoes;Aardappelen;Potato puree powder av;Aardappelpureepoeder gem;1455
Potatoes;Aardappelen;Potato puree powder w milkpowder w fat;Aardappelpureepoeder m melkpoeder m vet;2499
Potatoes;Aardappelen;Potato puree powder wo milkpowder wo fat;Aardappelpureepoeder z melkpoeder z vet;2493
Potatoes;Aardappelen;Potato waffels/balls frozen unprepared;Aardappelbolletjes/-wafeltjes ed dv onbereid;2834
Potatoes;Aardappelen;Potatoes boiled with skin av;Aardappelen m schil gekookt gem;2325
Potatoes;Aardappelen;Potatoes Eigenheimer wo skin boiled;Aardappelen Eigenheimer z schil gekookt;2745
Potatoes;Aardappelen;Potatoes floury average wo skin boiled;Aardappelen kruimig z schil gekookt gem;2747
Potatoes;Aardappelen;Potatoes fried;Aardappelen gebakken;1457
Potatoes;Aardappelen;Potatoes mashed instant prep w s-sk milk;Aardappelpuree instant bereid m halfvolle melk;2322
Potatoes;Aardappelen;Potatoes mashed instant prepared av;Aardappelpuree gem instant bereid;737
Potatoes;Aardappelen;Potatoes mashed instant prepared w water;Aardappelpuree instant bereid m water;2323
Potatoes;Aardappelen;Potatoes mashed prep w semi-sk milk+marg;Aardappelpuree bereid m hv melk m marg;121
Potatoes;Aardappelen;Potatoes mashed prep w s-sk milk wo fat;Aardappelpuree bereid m hv melk z vet;2324
Potatoes;Aardappelen;Potatoes new raw;Aardappelen nieuwe rauw;2
Potatoes;Aardappelen;Potatoes Nicola wo skin boiled;Aardappelen Nicola z schil gekookt;2744
Potatoes;Aardappelen;Potatoes old raw;Aardappelen oude rauw;3
Potatoes;Aardappelen;Potatoes raw;Aardappelen rauw;1
Potatoes;Aardappelen;Potatoes Red Baron wo skin boiled;Aardappelen Red Baron z schil gekookt;2746
Potatoes;Aardappelen;Potatoes sliced frozen deep-fried;Aardappelschijfjes diepvries gefrituurd;1678
Potatoes;Aardappelen;Potatoes sliced frozen unprepared;Aardappelschijfjes diepvries onbereid;1150
Potatoes;Aardappelen;Potatoes waxy average wo skin boiled;Aardappelen vastkokend z schil gekookt gem;2922
Potatoes;Aardappelen;Potatoes wo skins boiled average;Aardappelen z schil gekookt gem;982
Potatoes;Aardappelen;Rosti prepared without fat;Rosti bereid z vet;948
Potatoes;Aardappelen;Rosti unprepared;Rosti onbereid;856
Potatoes;Aardappelen;Sweet potato boiled;Bataat zoete gekookt;2112
Potatoes;Aardappelen;Sweet potato raw;Bataat zoete rauw;671
Potatoes;Aardappelen;Tannia prepared wo fat;Pomtajer bereid z vet;2315
Potatoes;Aardappelen;Tannia raw;Pomtajer rauw;670
Potatoes;Aardappelen;Taro boiled;Taro gekookt;2110
Potatoes;Aardappelen;Taro raw;Taro rauw;668
Potatoes;Aardappelen;Yam boiled;Yam gekookt;2111
Potatoes;Aardappelen;Yam raw;Yam rauw;669
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Advocaat liqueur;Advocaat;382
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Beer >7 vol% alcohol;Bier zwaar >7 vol% alcohol;1468
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Beer alcohol free <0,1 vol%;Bier alcoholvrij <0,1 vol% alcohol;1519
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Beer brown;Bier oud bruin;389
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Beer low alcohol 0,1-1,2 vol%;Bier alcoholarm 0,1-1,2 vol% alcohol;1520
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Beer pilsner;Bier pils;390
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Beer with fruit flavour;Bier met vruchtensmaak;2837
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Berenburg herb liquor;Berenburg;1134
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Brand;Brandewijn;391
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Brandy Dutch vieux;Vieux;416
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Breakfast drink HeroFruitontbijt p 100ml;Drinkontbijt Hero FruitOntbijt p 100 ml;2079
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Breezer;Breezer;2311
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Campari;Campari;392
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Cappuccino freshly made;Cappuccino vers bereid;2476
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Cider;Cider;2513
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Coffee cappuccino instant prepared;Koffie cappuccino oplos- bereid;2477
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Coffee prepared;Koffie bereid;644
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Coffee w milk vending machine;Koffie automaat- m melk;2648
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Coffee w sugar and milk vending machine;Koffie automaat- m suiker en melk;2647
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Cognac;Cognac;394
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Cola light soft drink with caffeine;Frisdrank light m cafeine;1523
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Energy drink Golden Power/Bullit;Energydrink Golden Power/Bullit;2480
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Energy drink Red Bull sugarfree;Energydrink Red Bull sugarfree;2673
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Energy drink Red Bull/Euroshopper/Rodeo;Energydrink Red Bull/Euroshopper/Rodeo;2672
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit dried in brand;Fruit gedroogd op brandewijn;2505
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink blackcurrant;Vruchtendrank zwarte bessen;387
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc can Albert Heijn;Siroop vruchtenlimonade- blik Albert Heijn;2389
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc Roosvicee Dieet;Siroop Roosvicee Dieet;738
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc Roosvicee Ferro;Siroop Roosvicee Ferro;498
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc Roosvicee Laxo;Siroop Roosvicee Laxo;500
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc Roosvicee Multivit;Siroop Roosvicee Multivit bosvr/perzik;1881
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc Roosvicee Stop;Siroop Roosvicee Stop;501
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc w sugar and sw w vitC;Siroop vruchtenlim m suiker en zoetst m vit C;2288
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc w sugar and sweetners;Siroop vruchtenlimonade- m suiker en zoetstof;2287
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc with 10-15 mg vit C;Siroop vruchtenlimonade- m 10-15 mg vit C;2388
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc with 15-20 mg vit C;Siroop vruchtenlimonade- m 15-20 mg vit C;2390
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink conc with sweeteners;Siroop limonade- m zoetstof;1135
