----------------------- Page 1-----------------------

                                               English index for NEVO online 2013 

English food name → Dutch food name                                                         Code     Name food group 

                                           A 
Abricots dried and soaked → Abrikozen gedroogde geweekt                                      2685    Fruit 
Actimel → Yoghurtdrank Acmel                                                                 2258    Milk en milkproducts 
Advocaat liqueur → Advocaat                                                                  382     Alc. and non‐alc. drinks 
After eight chocolate mints → Aer eight                                                      2373    Sugar, confectionary, sweet prod. 
Almond filled pastry → Broodje amandel‐                                                      250     Pastry, cake and biscuits 
Almond paste filled tarts average → Koek gevulde gem                                         257     Pastry, cake and biscuits 
Almond paste filled tarts w butter → Koek gevulde m roomboter                                2761    Pastry, cake and biscuits 
Almond paste filled tarts wo butter → Koek gevulde z roomboter                               2762    Pastry, cake and biscuits 
Almond paste with egg → Amandelspijs m ei                                                    790     Miscellaneous foods 
Almond/imitation paste average → Spijs gem                                                   2807    Miscellaneous foods 
Almonds blanched salted → Noten amandelen z vliesje gezouten                                 2887    Nuts, seeds and snacks 
Almonds blanched unsalted → Noten amandelen z vliesje ongezouten                             198     Nuts, seeds and snacks 
Amaranth leaves raw → Klaroen rauw                                                           677     Vegetables 
Anchovy in oil canned → Ansjovis in olie blik                                                1588    Fish 
Antroewa raw → Antroewa rauw                                                                 674     Vegetables 
Appel pie Dutch w shortbread w butter → Taart appel‐ van zandtaartdeeg m                     2622    Pastry, cake and biscuits 
roomboter 
Apple dried soaked in water → Appeltjes gedroogd geweekt                                     2954    Fruit 
Apple Elstar with skin → Appel Elstar m schil                                                2751    Fruit 
Apple Elstar without skin → Appel Elstar z schil                                             2752    Fruit 
Apple Jonagold with skin → Appel Jonagold m schil                                            2753    Fruit 
Apple Jonagold without skin → Appel Jonagold z schil                                         2754    Fruit 
Apple pie Dutch w shortbread w marg → Taart appel‐ van zandtaartdeeg z roomboter             251     Pastry, cake and biscuits 

Apple sauce tinned → Appelmoes blik/glas                                                     179     Fruit 
Apple sauce wo sugar tinned → Appelmoes z suiker blik/glas                                   1182    Fruit 
Apple strudel → Appelcarre                                                                   833     Pastry, cake and biscuits 
Apple turnover → Appelﬂap                                                                    2560    Pastry, cake and biscuits 
Apple turnover w puff pastry w butter → Appelﬂap m roomboterbladerdeeg                       3060    Pastry, cake and biscuits 
Apple with skin average → Appel m schil gem                                                  875     Fruit 
Apple without skin average → Appel z schil gem                                               147     Fruit 
Apples dried → Appeltjes gedroogd                                                            178     Fruit 
Apricots dried → Abrikozen gedroogd                                                          175     Fruit 
Apricots in syrup tinned → Abrikozen op siroop blik/glas                                     176     Fruit 
Apricots with skin → Abrikozen m schil                                                       149     Fruit 
Artichoke raw → Arsjok rauw                                                                  1021    Vegetables 
Asparagus boiled → Asperges gekookt                                                          957     Vegetables 
Asparagus raw → Asperges rauw                                                                 9      Vegetables 
Asparagus tinned → Asperges blik/glas                                                        130     Vegetables 
