Productgroep_oms,Productgroepcode,Productcode,Controlegetal,Product_omschrijving,Fabrikantnaam,Code_nonactief,Hoeveelheid,Meeteenheid,Eetbaar_gedeelte,Vertrouwelijk_code,Commentaarregel,_01001,_01002,_02001,_02002,_02003,_02004,_03001,_03002,_03004,_03006,_03008,_03009,_03010,_03011,_03012,_03013,_03014,_03015,_03016,_03017,_03018,_03019,_03020,_03021,_03022,_03023,_03024,_03025,_03026,_03027,_03028,_03029,_03030,_03031,_03033,_03034,_03035,_03036,_03037,_03038,_03039,_03040,_03041,_03042,_03043,_03044,_03045,_03046,_03047,_03048,_03049,_03052,_03053,_03054,_03055,_03057,_03058,_03059,_03060,_03061,_03062,_03065,_03089,_03090,_03103,_03104,_03105,_03106,_03107,_03108,_03109,_03113,_03114,_03115,_03116,_03131,_03133,_03134,_03135,_03136,_03138,_03139,_03140,_03141,_03142,_04001,_05001,_05002,_05003,_05005,_05006,_05008,_05009,_05010,_05011,_05012,_05013,_05014,_05015,_06001,_07001,_08001,_09001,_09002,_09003,_09004,_09005,_09006,_09007,_09008,_09009,_10001,_10002,_10003,_11001,_11002,_11003,_11005,_11006,_11007,_11008,_11009,_11010,_11011,_11012,_11013,_11014,_11015,_11016,_11017,_11018,_11019,_11020,_11021,_11022,_11023,_11024,_11027,_11028,_11035,_11036,_11038,_12001,_13006,FoodGroup,EnglishName
Aardappelen,1,1,4,Aardappelen rauw,,N,100,g,1,N,Per 100g,88,371,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,19.0,1.0,,,,,,18.0,0.0,,,,,1.8,77.0,0.0,6,60,0.5,0.0,0.5,2,450,22,0.37,1,0.09,2.5,0,1,5,0.12,0.04,0.300,0.00,0.0,,14,23.0,,,,,,,,0,100,16,3,0,1,23.0,,,,,,Potatoes,Potatoes raw
Aardappelen,1,2,8,Aardappelen nieuwe rauw,,N,100,g,1,N,Per 100g,88,371,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,19.0,1.0,,,,,,18.0,0.0,,,,,1.8,77.0,0.0,6,60,0.5,0.0,0.5,2,450,14,0.20,1,0.09,2.5,0,0,3,0.12,0.04,0.300,0.00,0.0,0.1,25,23.0,,1.2,,,,,,0,13,4,0,0,0,23.0,,,,,,Potatoes,Potatoes new raw
Aardappelen,1,3,12,Aardappelen oude rauw,,N,100,g,1,N,Per 100g,88,371,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,19.0,1.0,,,,,,18.0,0.0,,,,,1.8,77.0,0.0,6,60,0.5,0.0,0.5,2,450,17,0.30,1,0.08,2.5,0,1,8,0.12,0.04,0.220,0.00,0.0,0.1,5,23.0,,1.2,,,,,,sp,60,,,0,1,23.0,,,,,,Potatoes,Potatoes old raw
Graanproducten en bindmiddelen,8,4,16,Pasta witte rauw,,N,100,g,1,N,Per 100g,359,1524,,12.0,12.0,0.0,1.5,1.0,0.2,0.2,0.6,0.6,,,,,0.1,,0.0,0.0,,,0.0,,,0.0,18.8,0.0,0.0,,0.0,0.7,15.2,0.0,4.3,,,0.7,0.3,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,60.2,0.0,0.0,,,0.0,0.0,,3.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.6,0.04,0.00,0.00,0.0,73.0,1.0,,,,,,71.7,0.0,,,,,3.0,10.0,0.0,15,125,2.0,0.0,2.0,2,100,53,1.50,20,0.30,0.6,0,0,0,0.10,0.06,0.080,0.00,0.0,sp,0,25.0,,2.0,,,,,,,,,,,0,25.0,,,,,,Cereal products,Pasta white raw
Graanproducten en bindmiddelen,8,5,20,Rijst witte rauw,,N,100,g,1,N,Per 100g,352,1492,,7.0,7.0,0.0,1.0,0.9,0.2,0.3,0.4,0.4,,0.0,0.0,0.0,0.0,,,0.0,,,sp,0.0,,0.0,24.4,sp,,,0.0,2.4,30.5,,,,,sp,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,42.7,0.0,,,,,,,,,,0.0,,,,,,,,,sp,,0.0,,,,,,0.0,0.0,0.4,0.00,0.00,0.00,0.0,78.0,0.0,,,,,,78.0,0.0,,,,,1.3,13.0,0.0,10,100,0.4,0.0,0.4,2,100,13,1.80,13,0.37,2.2,0,0,0,0.04,0.03,0.120,0.00,0.0,0.1,0,20.0,,1.0,,,,,,,,,,,0,20.0,,,,,,Cereal products,Rice white raw
Groenten,9,7,28,Andijvie rauw,,N,100,g,1,N,Per 100g,17,71,,1.3,1.3,0.0,0.4,0.3,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,29.3,0.0,0.0,0.0,0.0,1.4,2.9,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.00,0.00,0.0,1.2,1.2,0.5,0.7,0.0,0.0,0.0,0.0,0.0,,,,,1.8,95.3,0.0,54,36,1.2,0.0,1.2,22,253,11,0.55,1,0.05,6.4,0,130,779,0.04,0.06,0.057,0.00,0.0,0.3,1,35.2,,0.4,0.3,0.0,0.4,0.0,,0,1183,0,0,0,65,35.2,231.0,231.0,,0.6,,Vegetables,Endive raw
Groenten,9,8,32,Andijvie gekookt,,N,100,g,1,N,Per 100g,23,95,,1.4,1.4,0.0,0.5,0.3,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,29.3,0.0,0.0,0.0,0.0,1.4,2.9,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.00,0.00,0.0,2.3,1.6,0.6,0.9,0.0,0.0,0.1,0.8,0.0,,,,,1.7,93.5,0.0,60,25,0.5,0.0,0.5,5,163,9,0.27,0,0.06,6.4,0,378,2240,0.05,0.06,0.081,0.00,0.0,0.8,1,45.0,,0.5,0.6,0.0,1.2,0.0,,8,2926,6,39,26,188,45.0,337.0,337.0,,0.7,,Vegetables,Endive boiled
Groenten,9,9,36,Asperges rauw,,N,100,g,1,N,Per 100g,19,82,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,3.0,1.0,,,,,,2.0,0.0,,,,,1.7,94.0,0.0,20,60,1.0,0.0,1.0,1,200,20,0.50,1,0.08,0.2,0,0,1,0.10,0.07,0.030,0.00,0.0,1.2,30,56.0,,0.6,,,,,,1,25,0,0,0,0,56.0,41.6,41.6,,,,Vegetables,Asparagus raw
Groenten,9,10,3,Aubergine rauw,,N,100,g,1,N,Per 100g,20,84,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,3.0,3.0,,,,,,0.0,0.0,,,,,2.0,93.0,0.0,10,12,0.5,0.0,0.5,2,200,11,0.20,0,0.01,1.0,0,12,40,0.04,0.05,0.070,0.00,0.0,0.0,10,18.0,,0.6,,,,,,60,,,0,,6,18.0,6.1,6.1,,,,Vegetables,Aubergine raw
Groenten,9,11,7,Aubergine gekookt,,N,100,g,1,N,Per 100g,21,88,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,3.0,3.0,,,,,,0.0,0.0,,,,,2.5,93.0,0.0,10,12,0.5,0.0,0.5,10,200,8,0.10,1,0.01,1.2,0,13,43,0.04,0.05,0.060,0.00,0.0,0.0,4,5.0,,0.6,,,,,,65,,,0,,6,5.0,6.1,6.1,,,,Vegetables,Aubergine boiled
